date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:00:24	745/745	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226578cb1c-6a6%22	https://pikakid98.github.io/robots.txt		(from )
02:00:24	2827/2827	---M-Z	200	added ('OK')	text/html	etag:W/%226578cb1c-b0b%22	https://pikakid98.github.io/	C:/Users/Pika/Apps/HTTrack/Projects/https___pikakid98.github.io_/pikakid98.github.io/index.html	(from )
02:00:24	4397/4397	---M-Z	200	added ('OK')	text/css	etag:W/%226578cb1c-112d%22	https://pikakid98.github.io/assets/css/style.css?v=b86e82f0d22ddc0076e70169c48734dee9500be6	C:/Users/Pika/Apps/HTTrack/Projects/https___pikakid98.github.io_/pikakid98.github.io/assets/css/style4a04.css	(from https://pikakid98.github.io/)
02:00:25	99678/99678	---M-Z	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%226578cb19-1855e%22	https://pikakid98.github.io/favicon.ico	C:/Users/Pika/Apps/HTTrack/Projects/https___pikakid98.github.io_/pikakid98.github.io/favicon.ico	(from https://pikakid98.github.io/)
02:00:25	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Apr%202024%2001:00:25%20GMT	https://pikakid98.github.io/yt	C:/Users/Pika/Apps/HTTrack/Projects/https___pikakid98.github.io_/pikakid98.github.io/yt	(from https://pikakid98.github.io/)
02:00:25	1717/1717	---M-Z	200	added ('OK')	text/html	etag:W/%226578cb1c-6b5%22	https://pikakid98.github.io/games	C:/Users/Pika/Apps/HTTrack/Projects/https___pikakid98.github.io_/pikakid98.github.io/games.html	(from https://pikakid98.github.io/)
02:00:25	1712/1712	---M-Z	200	added ('OK')	text/html	etag:W/%226578cb1c-6b0%22	https://pikakid98.github.io/discord	C:/Users/Pika/Apps/HTTrack/Projects/https___pikakid98.github.io_/pikakid98.github.io/discord.html	(from https://pikakid98.github.io/)
02:00:25	3894/3894	---M-Z	200	added ('OK')	text/html	etag:W/%2265e4b70c-f36%22	https://pikakid98.github.io/yt/	C:/Users/Pika/Apps/HTTrack/Projects/https___pikakid98.github.io_/pikakid98.github.io/yt/index.html	(from https://pikakid98.github.io/)
02:00:26	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Apr%202024%2001:00:26%20GMT	https://pikakid98.github.io/support-me	C:/Users/Pika/Apps/HTTrack/Projects/https___pikakid98.github.io_/pikakid98.github.io/support-me	(from https://pikakid98.github.io/)
02:00:26	3061/3061	---M-Z	200	added ('OK')	text/html	etag:W/%22651f7a90-bf5%22	https://pikakid98.github.io/support-me/	C:/Users/Pika/Apps/HTTrack/Projects/https___pikakid98.github.io_/pikakid98.github.io/support-me/index.html	(from https://pikakid98.github.io/)
02:00:26	1721/1721	---M-Z	200	added ('OK')	text/html	etag:W/%226578cb1c-6b9%22	https://pikakid98.github.io/twitter	C:/Users/Pika/Apps/HTTrack/Projects/https___pikakid98.github.io_/pikakid98.github.io/twitter.html	(from https://pikakid98.github.io/)
02:00:26	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2014%20Apr%202024%2001:00:26%20GMT	https://pikakid98.github.io/weebly-archive	C:/Users/Pika/Apps/HTTrack/Projects/https___pikakid98.github.io_/pikakid98.github.io/weebly-archive	(from https://pikakid98.github.io/)
02:00:26	5703/5703	---M-Z	200	added ('OK')	text/html	etag:W/%226578b4b8-1647%22	https://pikakid98.github.io/weebly-archive/	C:/Users/Pika/Apps/HTTrack/Projects/https___pikakid98.github.io_/pikakid98.github.io/weebly-archive/index.html	(from https://pikakid98.github.io/)
02:00:27	1218/1218	---M--	200	added ('OK')	image/png	etag:%226532ba33-4c2%22	https://pikakid98.github.io/assets/images/bkg.png	C:/Users/Pika/Apps/HTTrack/Projects/https___pikakid98.github.io_/pikakid98.github.io/assets/images/bkg.png	(from https://pikakid98.github.io/assets/css/style.css?v=b86e82f0d22ddc0076e70169c48734dee9500be6)
02:00:27	603/603	---M--	200	added ('OK')	image/png	etag:%226532ba33-25b%22	https://pikakid98.github.io/assets/images/bullet.png	C:/Users/Pika/Apps/HTTrack/Projects/https___pikakid98.github.io_/pikakid98.github.io/assets/images/bullet.png	(from https://pikakid98.github.io/assets/css/style.css?v=b86e82f0d22ddc0076e70169c48734dee9500be6)
02:00:27	268/268	---M--	200	added ('OK')	image/png	etag:%226532ba33-10c%22	https://pikakid98.github.io/assets/images/blacktocat.png	C:/Users/Pika/Apps/HTTrack/Projects/https___pikakid98.github.io_/pikakid98.github.io/assets/images/blacktocat.png	(from https://pikakid98.github.io/assets/css/style.css?v=b86e82f0d22ddc0076e70169c48734dee9500be6)
02:00:28	4397/4397	---M-Z	200	added ('OK')	text/css	etag:W/%2265e4b70c-112d%22	https://pikakid98.github.io/yt/assets/css/style.css?v=28b2832d83da2f0aade21621b8f29fd5b5f185e6	C:/Users/Pika/Apps/HTTrack/Projects/https___pikakid98.github.io_/pikakid98.github.io/yt/assets/css/style5a4b.css	(from https://pikakid98.github.io/yt/)
02:00:28	99678/99678	---M-Z	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%2265e4b70c-1855e%22	https://pikakid98.github.io/yt/favicon.ico	C:/Users/Pika/Apps/HTTrack/Projects/https___pikakid98.github.io_/pikakid98.github.io/yt/favicon.ico	(from https://pikakid98.github.io/yt/)
02:00:28	63536/63536	---M--	200	added ('OK')	image/png	etag:%2265e4b70c-f830%22	https://pikakid98.github.io/yt/assets/img/@pikakid98-alt.png	C:/Users/Pika/Apps/HTTrack/Projects/https___pikakid98.github.io_/pikakid98.github.io/yt/assets/img/@pikakid98-alt.png	(from https://pikakid98.github.io/yt/)
02:00:28	62215/62215	---M--	200	added ('OK')	image/png	etag:%2265e4b70c-f307%22	https://pikakid98.github.io/yt/assets/img/@pikakid98.png	C:/Users/Pika/Apps/HTTrack/Projects/https___pikakid98.github.io_/pikakid98.github.io/yt/assets/img/@pikakid98.png	(from https://pikakid98.github.io/yt/)
02:00:28	61166/61166	---M--	200	added ('OK')	image/png	etag:%2265e4b70c-eeee%22	https://pikakid98.github.io/yt/assets/img/@pikakid98-archive.png	C:/Users/Pika/Apps/HTTrack/Projects/https___pikakid98.github.io_/pikakid98.github.io/yt/assets/img/@pikakid98-archive.png	(from https://pikakid98.github.io/yt/)
02:00:29	59492/59492	---M--	200	added ('OK')	image/png	etag:%2265e4b70c-e864%22	https://pikakid98.github.io/yt/assets/img/@pikakid98games.png	C:/Users/Pika/Apps/HTTrack/Projects/https___pikakid98.github.io_/pikakid98.github.io/yt/assets/img/@pikakid98games.png	(from https://pikakid98.github.io/yt/)
02:00:29	34510/34510	---M--	200	added ('OK')	image/png	etag:%2265e4b70c-86ce%22	https://pikakid98.github.io/yt/assets/img/@pikakid98-shorts.png	C:/Users/Pika/Apps/HTTrack/Projects/https___pikakid98.github.io_/pikakid98.github.io/yt/assets/img/@pikakid98-shorts.png	(from https://pikakid98.github.io/yt/)
02:00:29	93139/93139	---M--	200	added ('OK')	image/png	etag:%2265e4b70c-16bd3%22	https://pikakid98.github.io/yt/assets/img/bfts.png	C:/Users/Pika/Apps/HTTrack/Projects/https___pikakid98.github.io_/pikakid98.github.io/yt/assets/img/bfts.png	(from https://pikakid98.github.io/yt/)
02:00:29	90214/90214	---M--	200	added ('OK')	image/png	etag:%2265e4b70c-16066%22	https://pikakid98.github.io/yt/assets/img/bts.png	C:/Users/Pika/Apps/HTTrack/Projects/https___pikakid98.github.io_/pikakid98.github.io/yt/assets/img/bts.png	(from https://pikakid98.github.io/yt/)
02:00:30	46252/46252	---M--	200	added ('OK')	image/png	etag:%2265e4b70c-b4ac%22	https://pikakid98.github.io/yt/assets/img/no.png	C:/Users/Pika/Apps/HTTrack/Projects/https___pikakid98.github.io_/pikakid98.github.io/yt/assets/img/no.png	(from https://pikakid98.github.io/yt/)
02:00:30	63417/63417	---M--	200	added ('OK')	image/png	etag:%2265e4b70c-f7b9%22	https://pikakid98.github.io/yt/assets/img/@pikakid98-streams.png	C:/Users/Pika/Apps/HTTrack/Projects/https___pikakid98.github.io_/pikakid98.github.io/yt/assets/img/@pikakid98-streams.png	(from https://pikakid98.github.io/yt/)
